Country,Imports [Percent of GDP] 2016,Income per person [GDP per person] 2020,Exports [Percent of GDP] 2016,CO2 emissions [Tonnes per Person] 2014,Energy production [Tonnes of oil equivalent per Person] 2009,Inflation annual [Percent] 2017,Life expectancy [Years] 2018,Babies per woman 2018,Democracy score 2011,Median age [Years] 2020,Military expenditure [Percent of GDP] 2016,Oil production [Tonnes] 2016,Child mortality [0-5 year olds dying per 1000 born] 2018
Kenya,22.8,3320.0,14.0,0.31,0.00039,2.7,67.3,3.74,8.0,20.0,1.33,,47.1
Kiribati,95.6,1880.0,11.1,0.564,,1.64,62.2,3.57,,23.2,,,52.5
Kuwait,46.4,68700.0,48.2,25.2,0.0492,11.9,80.0,1.95,-7.0,33.7,5.84,153000000.0,7.99
Kyrgyz Republic,70.0,3720.0,35.8,1.66,0.00022,4.58,71.5,2.91,7.0,26.3,3.52,,20.6
Lao,41.9,6940.0,33.2,0.297,,1.85,67.9,2.59,-7.0,24.4,,,58.8
Latvia,59.1,27500.0,60.0,3.46,0.00093,3.06,75.1,1.57,8.0,43.9,1.48,,4.51
Lebanon,47.1,13900.0,25.5,4.3,0.00004,2.46,80.5,1.71,7.0,31.1,5.03,,7.97
Lesotho,83.1,3150.0,42.2,1.15,,-1.11,51.1,3.0,8.0,22.2,1.99,,85.8
Liberia,100.0,850.0,21.4,0.213,,0.252,65.4,4.45,6.0,19.2,0.695,,61.1
Libya,,21300.0,,9.19,0.0139,24.4,75.5,2.2,,29.0,,20000000.0,12.2
Liechtenstein,,,,1.19,,,,,,,,,
Lithuania,73.2,33000.0,74.5,4.33,0.00126,4.25,75.3,1.67,10.0,43.5,1.49,,4.77
Luxembourg,186.0,101000.0,221.0,17.4,0.00021,2.13,82.4,1.59,,39.7,0.445,,2.3
"Macedonia, FYR",64.7,15000.0,50.0,3.61,0.00078,3.47,75.2,1.55,9.0,39.1,0.945,,11.2
Madagascar,35.8,1520.0,33.5,0.13,,8.28,63.4,4.08,,19.6,0.594,,42.3
Malawi,44.9,1190.0,33.0,0.0748,,13.5,61.0,4.44,6.0,18.1,0.657,,54.8
Malaysia,61.0,28900.0,67.7,8.03,0.00321,3.82,75.9,2.0,6.0,29.9,1.41,32700000.0,7.41
Maldives,75.7,13800.0,74.5,3.27,,0.0329,80.1,2.01,,30.6,,,7.75
Mali,39.5,2080.0,22.9,0.0832,,1.54,62.9,5.88,7.0,16.4,2.58,,103.0
Malta,125.0,40300.0,136.0,5.51,,2.53,81.8,1.48,,42.4,0.5429999999999999,,6.32
Marshall Islands,83.9,3760.0,27.5,1.94,,0.0195,,,,,,,
Mauritania,63.4,3850.0,37.2,0.667,,4.2,70.6,4.55,-2.0,20.3,4.06,,80.6
Mauritius,53.8,22600.0,44.6,3.36,,1.91,74.9,1.43,10.0,37.4,0.188,,13.2
Mexico,39.1,17800.0,37.1,3.87,0.00196,6.13,76.8,2.12,8.0,29.3,0.575,121000000.0,13.8
"Micronesia, Fed. Sts.",72.4,3470.0,26.6,1.45,,-0.0196,65.8,3.05,,23.0,,,32.8
Moldova,71.3,5760.0,43.3,1.21,0.00003,6.28,72.4,1.23,8.0,37.6,0.44,,14.9
Monaco,,62000.0,,,,,,,,,,,
Mongolia,45.4,12800.0,50.2,7.13,0.0028399999999999996,10.6,68.7,2.67,10.0,28.6,0.848,,16.8
Montenegro,62.9,17500.0,40.5,3.52,,2.72,77.3,1.65,9.0,39.1,1.48,,3.73
